UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2020,19,4339526,2217719,2121807,1622769,1541676,336210,326559,33763,32537,125011,124135,6128,5955,93838,90945,1708091,1624183,383482,373115,56548,54599,159501,156985,13227,12866,1697323,1624281,1168951,1108314,310299,301596,18663,17917,119770,119224,4402,4187,75238,73043,1237473,1174795,348838,339631,33995,32953,148947,146879,9808,9401,520396,497526,453818,433362,25911,24963,15100,14620,5241,4911,1726,1768,18600,17902,470618,449388,34644,33484,22553,21646,10554,10106,3419,3465
R,1,2020,20,4284531,2191468,2093063,1609756,1527762,331407,320763,33220,31974,120658,119274,6055,5721,90372,87569,1691830,1607019,377121,365667,55808,53835,152971,150311,13077,12502,1683891,1608651,1166878,1105229,306021,296528,18506,17996,115618,114517,4310,4100,72558,70281,1232965,1168959,343388,333371,33870,32929,142941,140586,9637,9261,507577,484412,442878,422533,25386,24235,14714,13978,5040,4757,1745,1621,17814,17288,458865,438060,33733,32296,21938,20906,10030,9725,3440,3241
R,1,2020,21,4298589,2196097,2102492,1612963,1533100,332499,323489,32936,31965,122699,122078,6001,5691,88999,86169,1693550,1611204,376765,367191,55418,54158,154755,152409,13128,12256,1693645,1622903,1174520,1114609,307301,299632,18334,17921,117631,117283,4298,4085,71561,69373,1239500,1177650,343525,335484,33732,33320,144729,142778,9773,9141,502452,479589,438443,418491,25198,23857,14602,14044,5068,4795,1703,1606,17438,16796,454050,433554,33240,31707,21686,20838,10026,9631,3355,3115
R,1,2020,22,4276203,2185651,2090552,1600303,1521009,330120,321111,32675,31513,131282,128182,6044,5598,85227,83139,1677392,1596167,372045,362632,54897,53347,162083,157724,12702,11952,1691389,1620399,1168490,1110138,305800,297900,18090,17927,126283,123465,4336,4059,68390,66910,1230482,1170703,339976,331943,33452,33155,152278,148403,9450,8931,494262,470153,431813,410871,24320,23211,14585,13586,4999,4717,1708,1539,16837,16229,446910,425464,32069,30689,21445,20192,9805,9321,3252,3021
R,1,2020,23,4334143,2214372,2119771,1623690,1541723,329868,323165,32820,31466,138003,135883,6194,5711,83797,81823,1699464,1615442,370316,363417,55234,53449,168416,165146,12867,12320,1718579,1650619,1189909,1131449,305672,300441,18304,17783,133157,131157,4435,4132,67102,65657,1250726,1190694,338465,333301,33631,33017,159024,155885,9592,9253,495793,469152,433781,410274,24196,22724,14516,13683,4846,4726,1759,1579,16695,16166,448738,424748,31851,30116,21603,20432,9392,9261,3275,3067
R,1,2020,24,4400752,2253722,2147030,1646606,1557854,340597,330139,33113,31412,144637,142107,6432,6135,82337,79383,1720689,1629090,379768,368901,56094,53456,174517,170475,13111,12748,1753900,1674656,1209229,1144284,315973,307165,18590,17669,139752,137318,4676,4438,65680,63782,1268349,1201666,347633,338667,34519,33094,165052,161317,9871,9619,499822,472374,437377,413570,24624,22974,14523,13743,4885,4789,1756,1697,16657,15601,452340,427424,32135,30234,21575,20362,9465,9158,3240,3129
R,1,2020,25,4492167,2299926,2192241,1672894,1581177,357108,347173,33646,32443,149282,146625,6535,6377,80461,78446,1744919,1651197,394619,384868,56921,55001,178482,174764,13494,12921,1796064,1718444,1231545,1166506,332055,323777,19188,18447,144362,141962,4804,4699,64110,63053,1288926,1222786,362202,354446,35419,34432,169187,165828,10210,9817,503862,473797,441349,414671,25053,23396,14458,13996,4920,4663,1731,1678,16351,15393,455993,428411,32417,30422,21502,20569,9295,8936,3284,3104
R,1,2020,26,4569255,2341078,2228177,1698048,1599738,370651,359220,34569,33291,154155,153398,6664,6382,76991,76148,1766512,1667409,405904,395185,57238,55862,182671,180725,13475,12985,1832402,1752748,1251699,1183117,345251,335860,19846,19378,149331,148610,4835,4708,61440,61075,1306357,1237442,373560,364914,35735,35447,173546,171799,10140,9870,508676,475429,446349,416621,25400,23360,14723,13913,4824,4788,1829,1674,15551,15073,460155,429967,32344,30271,21503,20415,9125,8926,3335,3115
R,1,2020,27,4690605,2405198,2285407,1743445,1640092,383148,369327,36284,34078,159589,161025,6783,6455,75949,74430,1810808,1706053,416494,403162,59584,56772,188142,188432,13612,13109,1885929,1803162,1287745,1217331,357426,345362,20846,19887,154688,156160,4939,4731,60285,59691,1341186,1270244,383787,372532,37185,36072,179109,179602,10317,9935,519269,482245,455700,422761,25722,23965,15438,14191,4901,4865,1844,1724,15664,14739,469622,435809,32707,30630,22399,20700,9033,8830,3295,3174
R,1,2020,28,4773282,2430325,2342957,1760890,1675939,385263,380889,37041,33892,167228,171376,7521,6843,72382,74018,1824237,1740588,416422,414193,59533,56241,195053,199805,14551,13855,1914513,1863950,1309919,1258563,358824,355187,21212,20048,162155,166096,5471,5032,56932,59024,1359639,1310062,383064,381583,36798,35850,185880,190311,11024,10543,515812,479007,450971,417376,26439,25702,15829,13844,5073,5280,2050,1811,15450,14994,464598,430526,33358,32610,22735,20391,9173,9494,3527,3312
